Especie,Acronimo,Poblacion,Sitio,Paraje,Altitud,Exposicion,Pendiente_porc,Cantidad_Luz,N_Adultos,N_Juveniles,Tipo_vegetación,Posicion_topo,Este,Oeste,Fecha_caract,Observaciones
Q. nixoniana,Qnx,3,1,Almial,2159,NE,5,580,2,59,QQ,LA,578690,2163575,28-ene-19,
Q. nixoniana,Qnx,3,2,Mirador,2100,SO,80,1140,1,0,PQ,LM,577007,2165135,28-ene-19,
Q. nixoniana,Qnx,3,3,Mirador,2069,NO,40,203,4,1,QQ,LM,576986,2165383,28-ene-19,
Q. nixoniana,Qnx,2,1,Corralitos,1830,SO,48,811,1,23,VS,LM,572733,2168350,27-ene-19,
Q. nixoniana,Qnx,1,1,Puerto Martinez,1386,,,,,,,,577159,2160893,,
Q. nixoniana,Qnx,1,2,Lejos Puerta Ejido,1295,,,,,,,,577888,2160340,,
Q. nixoniana,Qnx,1,3,Potrero Camino San Miguel,1154,,,,,,,,577807,2159429,,
Q. xalapensis,Qxl,3,1,Almial,2153,E,24,774,2,1,VS,LA,578693,2163363,28-ene-19,
Q. xalapensis,Qxl,3,2,Almial,2151,NE,30,10,2,13,QQ,LA,578770,2163523,28-ene-19,
Q. xalapensis,Qxl,3,3,Moras,2000,NO,30,520,1,2,VS,LM,576486,2165772,28-ene-19,
Q. xalapensis,Qxl,2,1,Corralitos,1830,SO,37,1054,1,0,LM,PQ,572763,2168555,27-ene-19,1:48 RECOGIMOS SENSOR CORRALITOS
Q. xalapensis,Qxl,2,2,Corralitos,1813,SO,39,945,1,2,LB,QQ,572748,2168480,27-ene-19,
Q. xalapensis,Qxl,2,3,Corralitos,1830,O,98,241,1,1,LB,PQ,572777,2168355,27-ene-19,
Q. praineana,Qpn,3,1,Cuartones,1965,NO,9,392,2,11,PQ,LA,573525,2167810,27-ene-19,
Q. praineana,Qpn,3,2,Cuartones,1965,O,19,1123,2,5,PQ,CIMA,573410,2167885,27-ene-19,
Q. praineana,Qpn,3,3,Cuartones,1989,E,20,715,2,5,PQ,LA,573213,2167564,27-ene-19,RECOGIMOS SENSOR CUARTONES 12:35 PM
Q. praineana,Qpn,2,1,Cuatepinques,1810,O,46,273,3,12,PQ,LB,575521,2167974,27-ene-19,
Q. praineana,Qpn,2,2,Cuatepinques,1818,NO,67,90,5,2,PQ,LB,575567,2168002,27-ene-19,
Q. praineana,Qpn,2,3,Cuatepinques,1810,E,39,371,4,21,PQ,LM,575414,2168053,27-ene-19,
S. ramirezii,Srm,3,1,Entre Pitayita y El Almial,2131,NE,13,1184,4,70,PQ,LA,577970,2164843,28-ene-19,
S. ramirezii,Srm,3,2,Mas arriba Cañada la Paloma,2207,NO,56,1070,2,4,PQ,LM,580884,2162196,26-ene-19,
S. ramirezii,Srm,3,3,Tierritas blancas > abajo,2300,O,79,26,4,3,PM,LM,581290,2162371,28-ene-19,
S. ramirezii,Srm,2,1,La Puerta,1941,NE,23,24,19,25,PM,LM,573675,2167367,27-ene-19,
S. ramirezii,Srm,2,2,La mosa-Charco de los perros,1962,E,18,175,15,31,PM,LM,573471,2167179,27-ene-19,
S. ramirezii,Srm,2,3,Charco de los perros,1960,N,22,102,20,7,PM,LM,573389,2167310,27-ene-19,
C. mocinnoi,Cmc,3,1,Almial,2160,E,13,130,1,2,VS,LA,578706,2163467,28-ene-19,
C. mocinnoi,Cmc,3,2,Escarvadero de los toros,2110,NE,45,50,2,14,PM,LA,579202,2163325,26-ene-19,Recogimos sensor Almial 6:28 pm
C. mocinnoi,Cmc,3,3,La Cumbre,2120,N,25,205,1,3,MM,LA,580478,2162374,26-ene-19,
C. mocinnoi,Cmc,2,1,Cabañas,1957,N,2,1274,1,0,VS,LM,576218,2165815,28-ene-19,
C. mocinnoi,Cmc,2,2,Barbecho de las burras,1957,N,10,1211,5,0,VS,LM,575450,2165676,26-ene-19,
C. mocinnoi,Cmc,2,3,Cabañas,1945,NO,4,1223,5,4,VS,LM,576124,2165873,26-ene-19,
C. mocinnoi,Cmc,1,1,Galeras,1650,N,50,14,3,5,PQ,LM,575979,2169176,26-ene-19,
C. mocinnoi,Cmc,1,2,Galeras,1650,NO,28,257,1,5,PQ,LM,576066,2169053,26-ene-19,
P. hintonii,Phn,3,1,Almial,2151,E,4,40,3,2,QQ,LA,578740,2163545,28-ene-19,
P. hintonii,Phn,3,2,Almial,2135,E,7,14,5,2,QQ,LA,578838,2163507,28-ene-19,
P. hintonii,Phn,3,3,Escarvadero de los toros,2110,E,8,826,1,4,QQ,LM,579211,2163310,28-ene-19,
P. hintonii,Phn,2,1,Barbecho las Burras,1925,NO,21,1246,1,7,VS,LM,575462,2165714,26-ene-19,
P. hintonii,Phn,2,2,Barbecho las Burras,1957,N,10,1211,2,1,VS,LM,575453,2165677,26-ene-19,
P. hintonii,Phn,2,3,Las Joyas,1946,NO,4,1234,2,0,VS,LM,576082,2165797,26-ene-19,
P. hintonii,Phn,1,1,La Cumbre,1785,,,,,,,,572641,2168898,,
P. hintonii,Phn,1,2,La Troconera,1714,SE,65,279,15,5,MM,LM,570032,2171486,29-ene-19,
P. hintonii,Phn,1,3,La Troconera,1695,E,13,222,2,2,MM,LM,569955,2171642,29-ene-19,
